data,valor,categoria,departamento,ano,mes,trimestre,nivel_valor
2023-02-24,584,RH,A,2023,2,1,Alto
2023-02-25,918,Vendas,C,2023,2,1,Alto
2023-02-26,746,Vendas,C,2023,2,1,Alto
2023-02-27,120,RH,A,2023,2,1,Baixo
2023-02-28,940,Vendas,C,2023,2,1,Alto
2023-03-01,266,RH,C,2023,3,1,Médio
2023-03-02,373,TI,B,2023,3,1,Médio
2023-03-03,487,RH,C,2023,3,1,Médio
2023-03-04,700,TI,A,2023,3,1,Alto
2023-03-05,415,RH,B,2023,3,1,Médio
2023-03-06,113,Vendas,B,2023,3,1,Baixo
2023-03-07,341,RH,A,2023,3,1,Médio
2023-03-08,876,Vendas,A,2023,3,1,Alto
2023-03-09,445,RH,B,2023,3,1,Médio
2023-03-10,664,RH,C,2023,3,1,Alto
2023-03-11,997,Marketing,B,2023,3,1,Alto
2023-03-12,439,Vendas,A,2023,3,1,Médio
2023-03-13,191,Marketing,B,2023,3,1,Baixo
2023-03-14,466,Vendas,A,2023,3,1,Médio
2023-03-15,554,Marketing,B,2023,3,1,Alto
2023-03-16,527,TI,C,2023,3,1,Alto
2023-03-17,608,RH,B,2023,3,1,Alto
2023-03-18,875,Vendas,B,2023,3,1,Alto
2023-03-19,134,Vendas,A,2023,3,1,Baixo
2023-03-20,305,RH,A,2023,3,1,Médio
2023-03-21,180,Vendas,A,2023,3,1,Baixo
2023-03-22,661,Vendas,B,2023,3,1,Alto
2023-03-23,971,Marketing,C,2023,3,1,Alto
2023-03-24,487,Vendas,A,2023,3,1,Médio
2023-03-25,101,TI,A,2023,3,1,Baixo
2023-03-26,489,TI,B,2023,3,1,Médio
2023-03-27,665,RH,A,2023,3,1,Alto
2023-03-28,205,Vendas,C,2023,3,1,Médio
2023-03-29,871,RH,C,2023,3,1,Alto
2023-03-30,921,TI,A,2023,3,1,Alto
2023-03-31,576,Vendas,A,2023,3,1,Alto
2023-04-01,802,Vendas,B,2023,4,2,Alto
2023-04-02,501,RH,C,2023,4,2,Alto
2023-04-03,829,TI,C,2023,4,2,Alto
2023-04-04,655,Vendas,A,2023,4,2,Alto
2023-04-05,261,RH,B,2023,4,2,Médio
2023-04-06,301,TI,C,2023,4,2,Médio
2023-04-07,369,RH,C,2023,4,2,Médio
2023-04-08,962,Marketing,B,2023,4,2,Alto
2023-04-09,915,Vendas,B,2023,4,2,Alto
2023-04-10,370,Marketing,C,2023,4,2,Médio
2023-04-11,555,TI,C,2023,4,2,Alto
2023-04-12,561,Marketing,B,2023,4,2,Alto
2023-04-13,826,Marketing,C,2023,4,2,Alto
2023-04-14,351,TI,A,2023,4,2,Médio
2023-04-15,801,RH,A,2023,4,2,Alto
2023-04-16,395,Marketing,B,2023,4,2,Médio
2023-04-17,824,RH,B,2023,4,2,Alto
2023-04-18,819,Marketing,B,2023,4,2,Alto
2023-04-19,848,RH,A,2023,4,2,Alto
2023-04-20,437,TI,C,2023,4,2,Médio
2023-04-21,978,Marketing,A,2023,4,2,Alto
2023-04-22,152,TI,C,2023,4,2,Baixo
2023-04-23,891,Marketing,A,2023,4,2,Alto
2023-04-24,316,TI,C,2023,4,2,Médio
2023-04-25,863,TI,A,2023,4,2,Alto
2023-04-26,287,Marketing,B,2023,4,2,Médio
2023-04-27,479,Marketing,A,2023,4,2,Médio
2023-04-28,592,Marketing,C,2023,4,2,Alto
2023-04-29,140,Vendas,A,2023,4,2,Baixo
2023-04-30,256,RH,A,2023,4,2,Médio
2023-05-01,114,Vendas,A,2023,5,2,Baixo
2023-05-02,912,Vendas,B,2023,5,2,Alto
2023-05-03,164,TI,A,2023,5,2,Baixo
2023-05-04,956,Marketing,B,2023,5,2,Alto
2023-05-05,938,RH,B,2023,5,2,Alto
2023-05-06,620,TI,A,2023,5,2,Alto
2023-05-07,443,Vendas,A,2023,5,2,Médio
2023-05-08,228,Marketing,A,2023,5,2,Médio
2023-05-09,747,TI,C,2023,5,2,Alto
2023-05-10,571,Marketing,A,2023,5,2,Alto
2023-05-11,162,TI,B,2023,5,2,Baixo
2023-05-12,238,Marketing,A,2023,5,2,Médio
2023-05-13,598,Vendas,C,2023,5,2,Alto
2023-05-14,692,RH,A,2023,5,2,Alto
2023-05-15,491,Vendas,C,2023,5,2,Médio
2023-05-16,774,RH,C,2023,5,2,Alto
2023-05-17,518,Marketing,A,2023,5,2,Alto
2023-05-18,388,TI,B,2023,5,2,Médio
2023-05-19,478,Vendas,C,2023,5,2,Médio
2023-05-20,872,RH,A,2023,5,2,Alto
2023-05-21,589,Vendas,A,2023,5,2,Alto
2023-05-22,330,RH,B,2023,5,2,Médio
2023-05-23,140,Vendas,C,2023,5,2,Baixo
2023-05-24,127,RH,C,2023,5,2,Baixo
2023-05-25,234,RH,A,2023,5,2,Médio
2023-05-26,300,Marketing,A,2023,5,2,Médio
2023-05-27,939,RH,B,2023,5,2,Alto
2023-05-28,879,Marketing,B,2023,5,2,Alto
2023-05-29,132,RH,C,2023,5,2,Baixo
2023-05-30,147,TI,C,2023,5,2,Baixo
2023-05-31,602,TI,A,2023,5,2,Alto
2023-06-01,506,TI,C,2023,6,2,Alto
2023-06-02,673,RH,B,2023,6,2,Alto
2023-06-03,827,Marketing,B,2023,6,2,Alto
2023-06-04,904,Marketing,A,2023,6,2,Alto
2023-06-05,198,RH,B,2023,6,2,Baixo
2023-06-06,783,TI,B,2023,6,2,Alto
2023-06-07,971,TI,B,2023,6,2,Alto
2023-06-08,825,Marketing,B,2023,6,2,Alto
2023-06-09,646,TI,A,2023,6,2,Alto
2023-06-10,838,Vendas,A,2023,6,2,Alto
2023-06-11,712,Marketing,C,2023,6,2,Alto
2023-06-12,561,TI,B,2023,6,2,Alto
2023-06-13,742,Marketing,C,2023,6,2,Alto
2023-06-14,868,Vendas,A,2023,6,2,Alto
2023-06-15,104,Marketing,A,2023,6,2,Baixo
2023-06-16,317,Marketing,A,2023,6,2,Médio
2023-06-17,602,Marketing,A,2023,6,2,Alto
2023-06-18,866,Marketing,A,2023,6,2,Alto
2023-06-19,497,Vendas,A,2023,6,2,Médio
2023-06-20,970,RH,A,2023,6,2,Alto
2023-06-21,894,Marketing,B,2023,6,2,Alto
2023-06-22,492,Marketing,C,2023,6,2,Médio
2023-06-23,306,TI,A,2023,6,2,Médio
2023-06-24,114,Marketing,B,2023,6,2,Baixo
2023-06-25,957,TI,B,2023,6,2,Alto
2023-06-26,653,RH,C,2023,6,2,Alto
2023-06-27,991,Vendas,A,2023,6,2,Alto
2023-06-28,560,Vendas,C,2023,6,2,Alto
2023-06-29,790,RH,A,2023,6,2,Alto
2023-06-30,674,Vendas,B,2023,6,2,Alto
2023-07-01,963,RH,B,2023,7,3,Alto
2023-07-02,842,RH,B,2023,7,3,Alto
2023-07-03,340,RH,B,2023,7,3,Médio
2023-07-04,663,Vendas,C,2023,7,3,Alto
2023-07-05,195,TI,A,2023,7,3,Baixo
2023-07-06,999,RH,A,2023,7,3,Alto
2023-07-07,833,Marketing,C,2023,7,3,Alto
2023-07-08,584,Vendas,A,2023,7,3,Alto
2023-07-09,506,RH,B,2023,7,3,Alto
2023-07-10,330,RH,A,2023,7,3,Médio
2023-07-11,848,Marketing,B,2023,7,3,Alto
2023-07-12,754,TI,C,2023,7,3,Alto
2023-07-13,270,TI,A,2023,7,3,Médio
2023-07-14,640,TI,C,2023,7,3,Alto
2023-07-15,135,RH,A,2023,7,3,Baixo
2023-07-16,624,RH,B,2023,7,3,Alto
2023-07-17,259,RH,C,2023,7,3,Médio
2023-07-18,938,Vendas,A,2023,7,3,Alto
2023-07-19,798,Marketing,B,2023,7,3,Alto
2023-07-20,342,RH,C,2023,7,3,Médio
2023-07-21,185,Marketing,C,2023,7,3,Baixo
2023-07-22,895,Marketing,A,2023,7,3,Alto
2023-07-23,677,TI,A,2023,7,3,Alto
2023-07-24,781,Vendas,A,2023,7,3,Alto
2023-07-25,656,RH,B,2023,7,3,Alto
2023-07-26,673,TI,A,2023,7,3,Alto
2023-07-27,745,TI,C,2023,7,3,Alto
2023-07-28,895,RH,C,2023,7,3,Alto
2023-07-29,127,Marketing,A,2023,7,3,Baixo
2023-07-30,719,TI,A,2023,7,3,Alto
2023-07-31,655,Marketing,C,2023,7,3,Alto
2023-08-01,439,Vendas,B,2023,8,3,Médio
2023-08-02,897,Marketing,A,2023,8,3,Alto
2023-08-03,430,Vendas,A,2023,8,3,Médio
2023-08-04,739,Marketing,C,2023,8,3,Alto
2023-08-05,605,TI,A,2023,8,3,Alto
2023-08-06,447,TI,B,2023,8,3,Médio
2023-08-07,572,Vendas,C,2023,8,3,Alto
2023-08-08,330,RH,A,2023,8,3,Médio
2023-08-09,289,Vendas,C,2023,8,3,Médio
2023-08-10,324,Vendas,A,2023,8,3,Médio
2023-08-11,484,Marketing,A,2023,8,3,Médio
2023-08-12,476,Marketing,A,2023,8,3,Médio
2023-08-13,382,Vendas,B,2023,8,3,Médio
2023-08-14,732,TI,B,2023,8,3,Alto
2023-08-15,727,Marketing,C,2023,8,3,Alto
2023-08-16,844,RH,A,2023,8,3,Alto
2023-08-17,358,Marketing,A,2023,8,3,Médio
2023-08-18,458,Marketing,B,2023,8,3,Médio
2023-08-19,809,RH,A,2023,8,3,Alto
2023-08-20,555,Vendas,B,2023,8,3,Alto
2023-08-21,510,RH,A,2023,8,3,Alto
2023-08-22,748,Vendas,C,2023,8,3,Alto
2023-08-23,417,Vendas,A,2023,8,3,Médio
2023-08-24,776,Vendas,A,2023,8,3,Alto
2023-08-25,324,RH,B,2023,8,3,Médio
2023-08-26,918,Vendas,A,2023,8,3,Alto
2023-08-27,333,TI,A,2023,8,3,Médio
2023-08-28,783,RH,B,2023,8,3,Alto
2023-08-29,763,TI,C,2023,8,3,Alto
2023-08-30,926,Vendas,C,2023,8,3,Alto
2023-08-31,473,Marketing,B,2023,8,3,Médio
2023-09-01,771,Vendas,B,2023,9,3,Alto
2023-09-02,707,TI,B,2023,9,3,Alto
2023-09-03,571,TI,B,2023,9,3,Alto
2023-09-04,332,RH,B,2023,9,3,Médio
2023-09-05,791,Marketing,C,2023,9,3,Alto
2023-09-06,212,RH,C,2023,9,3,Médio
2023-09-07,929,TI,B,2023,9,3,Alto
2023-09-08,596,Vendas,A,2023,9,3,Alto
2023-09-09,541,Marketing,B,2023,9,3,Alto
2023-09-10,663,Vendas,A,2023,9,3,Alto
2023-09-11,367,Vendas,B,2023,9,3,Médio
2023-09-12,609,Marketing,B,2023,9,3,Alto
2023-09-13,906,RH,C,2023,9,3,Alto
2023-09-14,485,Vendas,A,2023,9,3,Médio
2023-09-15,486,TI,A,2023,9,3,Médio
2023-09-16,212,Vendas,C,2023,9,3,Médio
2023-09-17,712,Marketing,C,2023,9,3,Alto
2023-09-18,724,Marketing,C,2023,9,3,Alto
2023-09-19,180,Marketing,C,2023,9,3,Baixo
2023-09-20,798,RH,A,2023,9,3,Alto
2023-09-21,212,Vendas,A,2023,9,3,Médio
2023-09-22,101,RH,B,2023,9,3,Baixo
2023-09-23,741,RH,B,2023,9,3,Alto
2023-09-24,319,Marketing,C,2023,9,3,Médio
2023-09-25,665,Marketing,C,2023,9,3,Alto
2023-09-26,954,RH,C,2023,9,3,Alto
2023-09-27,835,Vendas,B,2023,9,3,Alto
2023-09-28,324,TI,B,2023,9,3,Médio
2023-09-29,484,RH,B,2023,9,3,Médio
2023-09-30,502,Vendas,B,2023,9,3,Alto
2023-10-01,737,Marketing,B,2023,10,4,Alto
2023-10-02,229,Marketing,B,2023,10,4,Médio
2023-10-03,152,Vendas,B,2023,10,4,Baixo
2023-10-04,783,TI,C,2023,10,4,Alto
2023-10-05,829,Marketing,C,2023,10,4,Alto
2023-10-06,771,Marketing,C,2023,10,4,Alto
2023-10-07,809,Marketing,C,2023,10,4,Alto
2023-10-08,515,Vendas,B,2023,10,4,Alto
2023-10-09,346,RH,A,2023,10,4,Médio
2023-10-10,935,Marketing,B,2023,10,4,Alto
2023-10-11,538,RH,A,2023,10,4,Alto
2023-10-12,302,TI,C,2023,10,4,Médio
2023-10-13,283,Marketing,B,2023,10,4,Médio
2023-10-14,222,Marketing,C,2023,10,4,Médio
2023-10-15,500,TI,B,2023,10,4,Médio
2023-10-16,866,Marketing,C,2023,10,4,Alto
2023-10-17,393,RH,A,2023,10,4,Médio
2023-10-18,379,Vendas,A,2023,10,4,Médio
2023-10-19,936,RH,A,2023,10,4,Alto
2023-10-20,983,Vendas,B,2023,10,4,Alto
2023-10-21,709,Vendas,A,2023,10,4,Alto
2023-10-22,297,RH,B,2023,10,4,Médio
2023-10-23,610,RH,A,2023,10,4,Alto
2023-10-24,851,RH,A,2023,10,4,Alto
2023-10-25,243,RH,B,2023,10,4,Médio
2023-10-26,708,TI,B,2023,10,4,Alto
2023-10-27,300,Marketing,A,2023,10,4,Médio
2023-10-28,223,Vendas,B,2023,10,4,Médio
2023-10-29,286,RH,A,2023,10,4,Médio
2023-10-30,425,RH,B,2023,10,4,Médio
2023-10-31,563,RH,C,2023,10,4,Alto
2023-11-01,448,TI,C,2023,11,4,Médio
2023-11-02,870,RH,C,2023,11,4,Alto
2023-11-03,759,RH,C,2023,11,4,Alto
2023-11-04,863,RH,C,2023,11,4,Alto
2023-11-05,502,Marketing,A,2023,11,4,Alto
2023-11-06,445,TI,C,2023,11,4,Médio
2023-11-07,610,RH,C,2023,11,4,Alto
2023-11-08,246,Vendas,C,2023,11,4,Médio
2023-11-09,247,Vendas,C,2023,11,4,Médio
2023-11-10,963,Vendas,B,2023,11,4,Alto
2023-11-11,810,TI,A,2023,11,4,Alto
2023-11-12,919,TI,C,2023,11,4,Alto
2023-11-13,588,Vendas,C,2023,11,4,Alto
2023-11-14,739,RH,C,2023,11,4,Alto
2023-11-15,650,TI,A,2023,11,4,Alto
2023-11-16,437,Vendas,B,2023,11,4,Médio
2023-11-17,971,Vendas,A,2023,11,4,Alto
2023-11-18,740,RH,B,2023,11,4,Alto
2023-11-19,878,Marketing,C,2023,11,4,Alto
2023-11-20,572,TI,C,2023,11,4,Alto
2023-11-21,250,RH,A,2023,11,4,Médio
2023-11-22,514,Vendas,A,2023,11,4,Alto
2023-11-23,397,Vendas,B,2023,11,4,Médio
2023-11-24,710,RH,B,2023,11,4,Alto
2023-11-25,362,TI,A,2023,11,4,Médio
2023-11-26,863,Marketing,B,2023,11,4,Alto
2023-11-27,243,Marketing,A,2023,11,4,Médio
2023-11-28,445,Vendas,B,2023,11,4,Médio
2023-11-29,723,TI,A,2023,11,4,Alto
2023-11-30,671,Marketing,A,2023,11,4,Alto
2023-12-01,980,TI,A,2023,12,4,Alto
2023-12-02,101,TI,B,2023,12,4,Baixo
2023-12-03,996,Vendas,B,2023,12,4,Alto
2023-12-04,403,Marketing,B,2023,12,4,Médio
2023-12-05,353,RH,A,2023,12,4,Médio
2023-12-06,751,Vendas,B,2023,12,4,Alto
2023-12-07,552,Marketing,B,2023,12,4,Alto
2023-12-08,136,Marketing,A,2023,12,4,Baixo
2023-12-09,259,Marketing,C,2023,12,4,Médio
2023-12-10,108,Marketing,A,2023,12,4,Baixo
2023-12-11,332,Marketing,B,2023,12,4,Médio
2023-12-12,198,TI,A,2023,12,4,Baixo
2023-12-13,758,Vendas,C,2023,12,4,Alto
2023-12-14,915,TI,A,2023,12,4,Alto
2023-12-15,307,RH,B,2023,12,4,Médio
2023-12-16,230,Marketing,C,2023,12,4,Médio
2023-12-17,503,Vendas,B,2023,12,4,Alto
2023-12-18,251,Marketing,C,2023,12,4,Médio
2023-12-19,153,Vendas,C,2023,12,4,Baixo
2023-12-20,219,TI,A,2023,12,4,Médio
2023-12-21,772,Vendas,A,2023,12,4,Alto
2023-12-22,727,RH,B,2023,12,4,Alto
2023-12-23,686,RH,A,2023,12,4,Alto
2023-12-24,724,Vendas,A,2023,12,4,Alto
2023-12-25,519,Vendas,C,2023,12,4,Alto
2023-12-26,521,Vendas,A,2023,12,4,Alto
2023-12-27,203,Vendas,C,2023,12,4,Médio
2023-12-28,951,RH,C,2023,12,4,Alto
2023-12-29,353,Marketing,C,2023,12,4,Médio
2023-12-30,326,Vendas,B,2023,12,4,Médio
2023-12-31,211,Vendas,B,2023,12,4,Médio
